freq,psd_x,psd_y,psd_z,psd_xyz
149.3,1.998e+02,4.420e+02,5.984e+02,1.240e+03
150.8,2.481e+02,5.937e+02,1.140e+03,1.982e+03
152.3,2.977e+02,5.248e+02,1.093e+03,1.916e+03
153.8,3.413e+02,5.144e+02,1.493e+03,2.348e+03
155.3,4.029e+02,5.097e+02,2.184e+03,3.097e+03
156.8,3.998e+02,4.771e+02,3.233e+03,4.110e+03
158.3,3.366e+02,3.596e+02,4.196e+03,4.892e+03
159.8,3.112e+02,2.499e+02,4.178e+03,4.739e+03
161.3,3.456e+02,2.491e+02,4.097e+03,4.692e+03
162.8,3.647e+02,2.414e+02,3.714e+03,4.320e+03
164.3,4.020e+02,2.284e+02,3.323e+03,3.953e+03
165.8,4.487e+02,2.333e+02,3.417e+03,4.099e+03
167.4,5.184e+02,2.532e+02,3.712e+03,4.483e+03
168.9,5.320e+02,2.418e+02,3.362e+03,4.136e+03
170.4,5.466e+02,2.213e+02,3.421e+03,4.189e+03
171.9,5.954e+02,2.164e+02,3.775e+03,4.587e+03
173.4,6.344e+02,2.160e+02,4.025e+03,4.875e+03
174.9,6.561e+02,2.225e+02,3.907e+03,4.785e+03
176.4,7.043e+02,2.697e+02,3.584e+03,4.558e+03
177.9,7.189e+02,2.852e+02,3.418e+03,4.422e+03
179.4,8.015e+02,2.431e+02,3.282e+03,4.326e+03
180.9,7.716e+02,2.001e+02,3.041e+03,4.013e+03
182.4,7.283e+02,1.957e+02,2.858e+03,3.782e+03
183.9,6.775e+02,1.719e+02,2.555e+03,3.404e+03
185.4,6.532e+02,1.572e+02,2.527e+03,3.337e+03
187.0,5.999e+02,1.436e+02,2.552e+03,3.296e+03
188.5,6.082e+02,1.608e+02,2.362e+03,3.131e+03
190.0,6.117e+02,1.556e+02,2.074e+03,2.842e+03
191.5,6.184e+02,1.712e+02,2.068e+03,2.857e+03
193.0,6.128e+02,1.739e+02,1.965e+03,2.752e+03
194.5,6.197e+02,1.569e+02,1.785e+03,2.562e+03
196.0,5.963e+02,1.562e+02,1.843e+03,2.596e+03
197.5,6.042e+02,1.647e+02,1.929e+03,2.698e+03
199.0,7.426e+02,2.064e+02,2.273e+03,3.221e+03
