freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.208e+02,8.257e+00,7.781e+00,5.368e+02
1.5,3.173e+02,2.119e+01,1.945e+01,3.580e+02
3.0,4.426e+01,2.126e+01,2.312e+01,8.864e+01
4.5,3.514e+02,1.994e+01,2.285e+01,3.942e+02
6.0,1.242e+03,2.019e+01,1.855e+01,1.281e+03
7.5,1.963e+03,2.157e+01,1.996e+01,2.004e+03
9.0,2.890e+03,2.139e+01,2.240e+01,2.934e+03
10.6,4.034e+03,2.103e+01,2.261e+01,4.077e+03
12.1,5.804e+03,2.025e+01,2.153e+01,5.846e+03
13.6,8.142e+03,2.149e+01,2.070e+01,8.185e+03
15.1,1.060e+04,2.206e+01,2.156e+01,1.065e+04
16.6,1.364e+04,2.946e+01,2.323e+01,1.370e+04
18.1,1.805e+04,3.929e+01,2.387e+01,1.811e+04
19.6,2.449e+04,5.321e+01,7.032e+01,2.461e+04
21.1,3.013e+04,6.471e+01,1.915e+02,3.038e+04
22.6,3.119e+04,7.974e+01,1.898e+02,3.146e+04
24.1,3.100e+04,9.985e+01,1.230e+02,3.122e+04
25.6,3.889e+04,6.826e+01,7.243e+01,3.903e+04
27.1,5.627e+04,7.763e+01,6.544e+01,5.641e+04
28.6,6.933e+04,2.038e+02,9.312e+01,6.963e+04
30.2,7.158e+04,1.631e+02,6.866e+01,7.181e+04
31.7,8.587e+04,1.275e+02,4.053e+01,8.604e+04
33.2,1.203e+05,1.496e+02,3.906e+01,1.205e+05
34.7,1.766e+05,1.431e+02,1.078e+02,1.769e+05
36.2,2.868e+05,1.583e+02,2.500e+02,2.872e+05
37.7,5.078e+05,1.797e+02,3.475e+02,5.083e+05
39.2,1.144e+06,3.222e+02,6.649e+02,1.145e+06
40.7,1.908e+06,2.810e+02,2.031e+03,1.910e+06
42.2,1.737e+06,6.237e+02,3.146e+03,1.741e+06
43.7,1.213e+06,1.452e+03,3.139e+03,1.217e+06
45.2,8.544e+05,1.104e+03,2.987e+03,8.584e+05
46.7,6.184e+05,1.934e+03,3.444e+03,6.237e+05
48.2,4.622e+05,3.595e+03,3.761e+03,4.696e+05
49.8,3.616e+05,4.534e+03,3.642e+03,3.697e+05
51.3,2.980e+05,4.633e+03,3.902e+03,3.065e+05
52.8,2.516e+05,4.304e+03,3.745e+03,2.596e+05
54.3,2.199e+05,4.026e+03,4.566e+03,2.285e+05
55.8,1.981e+05,3.231e+03,6.513e+03,2.078e+05
57.3,1.825e+05,2.200e+03,6.862e+03,1.916e+05
58.8,1.620e+05,1.729e+03,5.186e+03,1.690e+05
60.3,1.427e+05,3.377e+03,3.856e+03,1.499e+05
61.8,1.314e+05,5.073e+03,4.298e+03,1.408e+05
63.3,1.209e+05,5.374e+03,8.210e+03,1.345e+05
64.8,1.083e+05,5.184e+03,1.052e+04,1.240e+05
66.3,9.916e+04,5.035e+03,9.968e+03,1.142e+05
67.8,9.182e+04,4.689e+03,9.052e+03,1.056e+05
69.4,8.563e+04,4.173e+03,7.368e+03,9.717e+04
70.9,8.063e+04,3.934e+03,5.228e+03,8.979e+04
72.4,8.510e+04,3.845e+03,3.401e+03,9.234e+04
73.9,9.060e+04,4.720e+03,3.398e+03,9.872e+04
75.4,8.270e+04,7.141e+03,2.007e+03,9.184e+04
76.9,6.558e+04,9.368e+03,8.869e+02,7.583e+04
78.4,4.927e+04,1.004e+04,1.899e+03,6.122e+04
79.9,4.091e+04,8.849e+03,6.651e+03,5.641e+04
81.4,4.006e+04,6.224e+03,1.057e+04,5.686e+04
82.9,4.153e+04,3.539e+03,9.973e+03,5.504e+04
84.4,4.172e+04,1.797e+03,9.380e+03,5.289e+04
85.9,4.127e+04,1.450e+03,8.375e+03,5.109e+04
87.4,4.270e+04,2.613e+03,8.110e+03,5.342e+04
89.0,4.727e+04,3.789e+03,7.301e+03,5.836e+04
90.5,5.365e+04,4.529e+03,5.377e+03,6.356e+04
92.0,5.811e+04,7.203e+03,5.531e+03,7.084e+04
93.5,5.897e+04,1.090e+04,8.595e+03,7.847e+04
95.0,5.440e+04,1.411e+04,9.737e+03,7.824e+04
96.5,4.438e+04,1.535e+04,7.023e+03,6.675e+04
98.0,2.775e+04,1.306e+04,4.968e+03,4.578e+04
99.5,1.610e+04,1.104e+04,5.835e+03,3.298e+04
101.0,5.991e+03,7.522e+03,6.761e+03,2.027e+04
102.5,1.693e+03,4.874e+03,6.227e+03,1.279e+04
104.0,5.083e+02,3.064e+03,6.052e+03,9.624e+03
105.5,1.229e+03,1.691e+03,6.337e+03,9.257e+03
107.0,3.084e+03,8.594e+02,5.914e+03,9.858e+03
108.6,3.902e+03,4.425e+02,5.232e+03,9.577e+03
110.1,3.946e+03,3.644e+02,4.706e+03,9.016e+03
111.6,5.012e+03,3.503e+02,4.121e+03,9.482e+03
113.1,7.773e+03,3.046e+02,3.452e+03,1.153e+04
114.6,1.215e+04,4.017e+02,3.152e+03,1.570e+04
116.1,1.528e+04,7.760e+02,3.515e+03,1.957e+04
117.6,1.493e+04,1.066e+03,4.403e+03,2.040e+04
119.1,1.379e+04,1.374e+03,4.562e+03,1.972e+04
120.6,1.330e+04,2.198e+03,4.579e+03,2.007e+04
122.1,1.294e+04,3.208e+03,4.669e+03,2.082e+04
123.6,1.221e+04,3.752e+03,4.518e+03,2.048e+04
125.1,1.288e+04,4.317e+03,4.423e+03,2.162e+04
126.6,1.389e+04,5.048e+03,4.363e+03,2.330e+04
128.2,1.271e+04,5.403e+03,4.477e+03,2.259e+04
129.7,9.900e+03,4.815e+03,4.745e+03,1.946e+04
131.2,7.021e+03,3.246e+03,4.584e+03,1.485e+04
132.7,3.435e+03,1.494e+03,2.973e+03,7.902e+03
134.2,4.920e+02,3.434e+02,5.993e+02,1.435e+03
135.7,2.517e+02,2.324e+02,2.131e+02,6.972e+02
137.2,3.730e+02,3.489e+02,2.489e+02,9.708e+02
138.7,3.625e+02,3.875e+02,2.751e+02,1.025e+03
140.2,4.247e+02,4.664e+02,3.313e+02,1.222e+03
141.7,4.182e+02,5.116e+02,3.648e+02,1.295e+03
143.2,2.840e+02,4.313e+02,3.346e+02,1.050e+03
144.7,2.126e+02,3.765e+02,3.081e+02,8.972e+02
146.2,2.061e+02,3.538e+02,3.612e+02,9.210e+02
147.8,1.917e+02,3.530e+02,5.027e+02,1.047e+03
