freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.346e+01,7.188e+00,3.567e+02,3.773e+02
1.5,3.995e+01,1.896e+01,2.146e+02,2.735e+02
3.0,3.011e+01,2.070e+01,2.385e+01,7.466e+01
4.5,2.940e+01,2.120e+01,2.618e+02,3.124e+02
6.0,3.062e+01,2.039e+01,1.108e+03,1.159e+03
7.5,3.028e+01,2.129e+01,1.881e+03,1.932e+03
9.0,2.942e+01,2.086e+01,2.699e+03,2.749e+03
10.5,3.207e+01,2.066e+01,3.864e+03,3.917e+03
12.0,3.030e+01,2.068e+01,5.446e+03,5.497e+03
13.4,3.210e+01,2.058e+01,6.474e+03,6.527e+03
14.9,3.736e+01,2.150e+01,6.960e+03,7.019e+03
16.4,4.020e+01,1.994e+01,9.268e+03,9.328e+03
17.9,4.044e+01,1.980e+01,1.078e+04,1.084e+04
19.4,3.506e+01,2.078e+01,1.090e+04,1.096e+04
20.9,2.974e+01,2.172e+01,1.319e+04,1.325e+04
22.4,3.147e+01,2.165e+01,1.587e+04,1.593e+04
23.9,3.313e+01,2.258e+01,1.863e+04,1.869e+04
25.4,3.599e+01,2.057e+01,2.178e+04,2.184e+04
26.9,3.729e+01,2.263e+01,2.541e+04,2.546e+04
28.4,3.748e+01,2.362e+01,2.926e+04,2.932e+04
29.9,3.676e+01,2.350e+01,3.318e+04,3.324e+04
31.4,3.667e+01,2.472e+01,3.768e+04,3.774e+04
32.9,3.625e+01,3.041e+01,4.260e+04,4.267e+04
34.4,3.759e+01,3.260e+01,4.847e+04,4.854e+04
35.9,4.824e+01,3.783e+01,5.610e+04,5.619e+04
37.3,5.932e+01,3.873e+01,6.491e+04,6.501e+04
38.8,5.740e+01,3.134e+01,7.530e+04,7.538e+04
40.3,5.178e+01,2.887e+01,8.890e+04,8.898e+04
41.8,4.857e+01,3.000e+01,1.055e+05,1.055e+05
43.3,4.213e+01,3.514e+01,1.240e+05,1.241e+05
44.8,4.610e+01,4.500e+01,1.478e+05,1.479e+05
46.3,8.066e+01,8.523e+01,1.751e+05,1.753e+05
47.8,1.070e+02,1.668e+02,1.976e+05,1.979e+05
49.3,1.670e+02,2.155e+02,2.321e+05,2.325e+05
50.8,3.685e+02,2.365e+02,2.966e+05,2.972e+05
52.3,9.372e+02,3.276e+02,3.943e+05,3.955e+05
53.8,2.528e+03,5.032e+02,5.318e+05,5.348e+05
55.3,6.941e+03,1.191e+03,6.993e+05,7.074e+05
56.8,1.197e+04,2.070e+03,9.206e+05,9.346e+05
58.3,1.516e+04,1.985e+03,9.482e+05,9.654e+05
59.8,1.621e+04,1.695e+03,7.661e+05,7.841e+05
61.2,1.677e+04,1.493e+03,5.802e+05,5.984e+05
62.7,1.496e+04,1.626e+03,4.299e+05,4.464e+05
64.2,1.040e+04,2.578e+03,3.458e+05,3.587e+05
65.7,5.171e+03,3.408e+03,2.752e+05,2.838e+05
67.2,2.350e+03,3.330e+03,2.163e+05,2.220e+05
68.7,1.945e+03,2.771e+03,1.982e+05,2.029e+05
70.2,2.604e+03,1.749e+03,2.183e+05,2.227e+05
71.7,3.955e+03,1.131e+03,2.906e+05,2.957e+05
73.2,4.237e+03,1.884e+03,3.968e+05,4.029e+05
74.7,2.723e+03,2.693e+03,4.912e+05,4.966e+05
76.2,1.288e+03,1.678e+03,5.270e+05,5.299e+05
77.7,8.638e+02,5.376e+02,5.008e+05,5.022e+05
79.2,1.305e+03,1.761e+02,4.679e+05,4.694e+05
80.7,1.433e+03,9.306e+01,4.505e+05,4.521e+05
82.2,9.396e+02,2.701e+02,4.291e+05,4.303e+05
83.7,1.054e+03,1.101e+03,4.096e+05,4.118e+05
85.2,4.027e+03,3.710e+03,3.740e+05,3.818e+05
86.6,9.402e+03,7.320e+03,3.277e+05,3.445e+05
88.1,1.372e+04,8.992e+03,3.036e+05,3.263e+05
89.6,1.632e+04,9.050e+03,2.984e+05,3.238e+05
91.1,1.850e+04,9.183e+03,2.864e+05,3.140e+05
92.6,1.998e+04,9.539e+03,3.048e+05,3.343e+05
94.1,2.071e+04,9.815e+03,3.204e+05,3.510e+05
95.6,2.059e+04,1.045e+04,3.339e+05,3.650e+05
97.1,2.206e+04,1.053e+04,3.255e+05,3.581e+05
98.6,2.335e+04,1.175e+04,2.575e+05,2.926e+05
100.1,3.005e+04,1.527e+04,2.005e+05,2.458e+05
101.6,3.237e+04,1.405e+04,1.937e+05,2.401e+05
103.1,2.705e+04,9.938e+03,1.957e+05,2.326e+05
104.6,2.126e+04,6.485e+03,1.944e+05,2.221e+05
106.1,1.661e+04,3.787e+03,1.931e+05,2.135e+05
107.6,1.126e+04,2.175e+03,1.887e+05,2.021e+05
109.1,7.281e+03,1.662e+03,1.799e+05,1.889e+05
110.5,5.179e+03,1.165e+03,1.696e+05,1.760e+05
112.0,4.180e+03,8.546e+02,1.522e+05,1.573e+05
113.5,4.405e+03,7.776e+02,1.377e+05,1.429e+05
115.0,4.585e+03,8.639e+02,1.419e+05,1.474e+05
116.5,5.194e+03,9.138e+02,1.497e+05,1.558e+05
118.0,5.263e+03,9.360e+02,1.505e+05,1.567e+05
119.5,4.305e+03,1.227e+03,1.446e+05,1.501e+05
121.0,4.239e+03,1.374e+03,1.338e+05,1.394e+05
122.5,3.555e+03,9.732e+02,1.216e+05,1.261e+05
124.0,2.772e+03,9.736e+02,1.155e+05,1.193e+05
125.5,2.639e+03,1.402e+03,1.153e+05,1.193e+05
127.0,3.195e+03,2.536e+03,1.134e+05,1.192e+05
128.5,3.825e+03,4.410e+03,1.080e+05,1.162e+05
130.0,3.996e+03,6.582e+03,1.039e+05,1.144e+05
131.5,3.683e+03,7.437e+03,9.807e+04,1.092e+05
133.0,2.048e+03,3.948e+03,4.733e+04,5.332e+04
134.4,9.147e+02,1.142e+03,5.730e+03,7.787e+03
135.9,8.014e+02,9.572e+02,3.283e+03,5.041e+03
137.4,7.537e+02,8.850e+02,3.137e+03,4.776e+03
138.9,6.475e+02,7.591e+02,2.784e+03,4.190e+03
140.4,5.968e+02,6.538e+02,2.764e+03,4.015e+03
141.9,8.437e+02,9.118e+02,2.874e+03,4.630e+03
143.4,1.608e+03,1.770e+03,3.537e+03,6.916e+03
144.9,2.810e+03,3.216e+03,4.686e+03,1.071e+04
146.4,4.161e+03,4.743e+03,5.151e+03,1.405e+04
147.9,5.520e+03,6.422e+03,4.188e+03,1.613e+04
149.4,5.913e+03,7.310e+03,2.946e+03,1.617e+04
150.9,5.588e+03,6.909e+03,3.644e+03,1.614e+04
152.4,4.286e+03,4.974e+03,5.338e+03,1.460e+04
153.9,3.316e+03,3.577e+03,7.079e+03,1.397e+04
155.4,3.897e+03,3.851e+03,7.092e+03,1.484e+04
156.9,4.680e+03,4.470e+03,6.059e+03,1.521e+04
158.4,4.351e+03,4.231e+03,6.770e+03,1.535e+04
159.8,3.846e+03,3.917e+03,8.087e+03,1.585e+04
161.3,3.374e+03,3.396e+03,8.858e+03,1.563e+04
162.8,3.150e+03,3.205e+03,8.497e+03,1.485e+04
164.3,3.203e+03,3.257e+03,8.068e+03,1.453e+04
165.8,3.165e+03,3.191e+03,8.158e+03,1.451e+04
167.3,3.077e+03,3.020e+03,8.003e+03,1.410e+04
168.8,3.079e+03,2.991e+03,7.924e+03,1.399e+04
170.3,2.814e+03,2.951e+03,8.899e+03,1.466e+04
171.8,2.543e+03,2.707e+03,1.038e+04,1.563e+04
173.3,2.912e+03,2.680e+03,1.018e+04,1.577e+04
174.8,3.168e+03,2.692e+03,9.374e+03,1.523e+04
176.3,3.201e+03,2.782e+03,8.687e+03,1.467e+04
177.8,2.802e+03,2.356e+03,8.664e+03,1.382e+04
179.3,2.561e+03,2.379e+03,8.572e+03,1.351e+04
180.8,2.137e+03,1.719e+03,3.439e+03,7.295e+03
182.3,2.132e+03,1.415e+03,1.938e+03,5.485e+03
183.7,2.209e+03,1.370e+03,1.672e+03,5.252e+03
185.2,2.258e+03,1.445e+03,2.279e+03,5.982e+03
186.7,2.261e+03,1.303e+03,2.718e+03,6.281e+03
188.2,2.934e+03,1.405e+03,3.034e+03,7.372e+03
189.7,3.823e+03,1.394e+03,3.057e+03,8.274e+03
191.2,4.508e+03,1.378e+03,2.819e+03,8.705e+03
192.7,5.080e+03,1.457e+03,2.555e+03,9.092e+03
194.2,5.786e+03,1.653e+03,2.867e+03,1.031e+04
195.7,6.432e+03,1.767e+03,3.133e+03,1.133e+04
197.2,6.447e+03,1.581e+03,4.019e+03,1.205e+04
198.7,4.624e+03,1.136e+03,3.474e+03,9.233e+03
