freq,psd_x,psd_y,psd_z,psd_xyz
167.4,1.614e+03,2.968e+03,4.865e+03,9.447e+03
168.9,1.965e+03,3.550e+03,4.905e+03,1.042e+04
170.4,1.264e+03,2.831e+03,7.578e+03,1.167e+04
171.9,6.786e+02,1.844e+03,6.900e+03,9.422e+03
173.4,7.865e+02,1.952e+03,6.227e+03,8.965e+03
175.0,7.942e+02,1.879e+03,7.236e+03,9.910e+03
176.5,8.161e+02,1.717e+03,7.815e+03,1.035e+04
178.0,7.617e+02,1.650e+03,7.242e+03,9.653e+03
179.5,7.310e+02,1.528e+03,7.337e+03,9.596e+03
181.0,7.691e+02,1.329e+03,8.451e+03,1.055e+04
182.5,7.339e+02,1.034e+03,8.939e+03,1.071e+04
184.0,6.546e+02,9.625e+02,8.614e+03,1.023e+04
185.5,6.710e+02,9.302e+02,8.434e+03,1.004e+04
187.0,7.035e+02,8.404e+02,8.484e+03,1.003e+04
188.5,6.019e+02,9.767e+02,8.570e+03,1.015e+04
190.0,6.098e+02,1.136e+03,9.507e+03,1.125e+04
191.5,6.051e+02,1.100e+03,9.417e+03,1.112e+04
193.1,5.898e+02,9.145e+02,6.885e+03,8.390e+03
194.6,6.737e+02,1.060e+03,5.084e+03,6.818e+03
196.1,6.850e+02,1.230e+03,4.925e+03,6.840e+03
197.6,8.069e+02,1.205e+03,5.214e+03,7.226e+03
199.1,1.098e+03,1.244e+03,4.368e+03,6.710e+03
