freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.354e+02,7.594e+00,8.363e+00,3.514e+02
1.5,2.113e+02,1.759e+01,1.749e+01,2.464e+02
3.0,3.693e+01,1.778e+01,1.720e+01,7.191e+01
4.5,2.848e+02,1.829e+01,1.770e+01,3.207e+02
6.0,1.193e+03,1.880e+01,1.776e+01,1.230e+03
7.5,1.985e+03,1.971e+01,1.679e+01,2.021e+03
9.0,2.895e+03,1.998e+01,1.691e+01,2.932e+03
10.5,4.159e+03,2.099e+01,1.738e+01,4.197e+03
12.0,5.847e+03,2.047e+01,1.777e+01,5.885e+03
13.5,8.410e+03,1.998e+01,1.899e+01,8.449e+03
15.0,1.180e+04,2.043e+01,1.993e+01,1.184e+04
16.5,1.607e+04,2.141e+01,2.064e+01,1.611e+04
18.0,2.148e+04,2.726e+01,2.608e+01,2.154e+04
19.5,2.202e+04,2.962e+01,2.778e+01,2.208e+04
21.0,1.873e+04,2.761e+01,1.980e+01,1.877e+04
22.5,2.413e+04,2.786e+01,1.676e+01,2.417e+04
24.0,3.458e+04,3.003e+01,1.928e+01,3.463e+04
25.5,3.509e+04,4.308e+01,2.499e+01,3.516e+04
26.9,3.417e+04,5.317e+01,2.548e+01,3.425e+04
28.4,4.304e+04,6.403e+01,2.200e+01,4.313e+04
29.9,6.048e+04,9.089e+01,2.301e+01,6.060e+04
31.4,8.763e+04,1.526e+02,2.481e+01,8.781e+04
32.9,1.329e+05,3.407e+02,2.395e+01,1.333e+05
34.4,2.084e+05,9.334e+02,3.872e+01,2.093e+05
35.9,2.838e+05,1.391e+03,1.272e+02,2.853e+05
37.4,3.858e+05,2.262e+03,2.862e+02,3.883e+05
38.9,6.231e+05,6.576e+03,4.959e+02,6.302e+05
40.4,7.661e+05,8.212e+03,5.123e+02,7.748e+05
41.9,7.212e+05,5.543e+03,4.506e+02,7.272e+05
43.4,6.270e+05,3.571e+03,8.181e+02,6.314e+05
44.9,5.809e+05,2.982e+03,1.958e+03,5.859e+05
46.4,5.141e+05,2.216e+03,2.922e+03,5.192e+05
47.9,4.068e+05,1.433e+03,2.776e+03,4.110e+05
49.4,3.186e+05,1.258e+03,2.793e+03,3.227e+05
50.9,2.499e+05,1.110e+03,3.217e+03,2.543e+05
52.4,1.919e+05,8.552e+02,2.854e+03,1.956e+05
53.9,1.897e+05,1.071e+03,4.410e+03,1.952e+05
55.4,1.942e+05,1.532e+03,9.257e+03,2.050e+05
56.9,1.802e+05,1.723e+03,1.681e+04,1.988e+05
58.4,1.653e+05,2.051e+03,2.763e+04,1.949e+05
59.9,1.439e+05,2.620e+03,3.090e+04,1.774e+05
61.4,1.254e+05,2.848e+03,2.817e+04,1.564e+05
62.9,1.094e+05,3.052e+03,1.986e+04,1.323e+05
64.4,8.751e+04,3.257e+03,8.561e+03,9.933e+04
65.9,7.051e+04,3.616e+03,2.731e+03,7.686e+04
67.4,6.637e+04,3.686e+03,7.828e+02,7.084e+04
68.9,6.852e+04,4.261e+03,2.234e+02,7.300e+04
70.4,7.638e+04,4.497e+03,1.976e+02,8.107e+04
71.9,7.925e+04,4.582e+03,2.485e+02,8.408e+04
73.4,7.384e+04,5.779e+03,2.350e+02,7.986e+04
74.9,6.308e+04,6.777e+03,4.514e+02,7.031e+04
76.4,5.022e+04,5.918e+03,1.047e+03,5.718e+04
