freq,psd_x,psd_y,psd_z,psd_xyz
137.9,1.233e+04,1.083e+04,6.631e+03,2.979e+04
139.4,1.186e+04,1.085e+04,6.667e+03,2.938e+04
140.9,9.905e+03,8.878e+03,6.393e+03,2.518e+04
142.5,7.940e+03,7.101e+03,6.175e+03,2.122e+04
144.0,6.533e+03,6.020e+03,5.996e+03,1.855e+04
145.5,5.349e+03,4.957e+03,5.441e+03,1.575e+04
147.0,4.632e+03,4.145e+03,5.051e+03,1.383e+04
148.5,4.257e+03,3.647e+03,5.244e+03,1.315e+04
150.0,4.175e+03,3.481e+03,5.618e+03,1.327e+04
151.5,3.965e+03,3.306e+03,5.998e+03,1.327e+04
153.1,3.411e+03,2.903e+03,6.261e+03,1.257e+04
154.6,3.087e+03,2.782e+03,6.265e+03,1.213e+04
156.1,2.796e+03,2.692e+03,6.975e+03,1.246e+04
157.6,2.840e+03,2.686e+03,8.008e+03,1.353e+04
159.1,2.911e+03,2.657e+03,8.826e+03,1.439e+04
160.6,2.765e+03,2.560e+03,9.775e+03,1.510e+04
162.2,2.583e+03,2.386e+03,1.096e+04,1.593e+04
163.7,2.414e+03,2.075e+03,1.101e+04,1.550e+04
165.2,2.152e+03,1.866e+03,1.034e+04,1.436e+04
166.7,1.889e+03,1.556e+03,1.041e+04,1.386e+04
168.2,1.838e+03,1.324e+03,1.081e+04,1.397e+04
169.7,1.860e+03,1.227e+03,1.107e+04,1.415e+04
171.2,1.832e+03,1.164e+03,1.073e+04,1.373e+04
172.8,1.745e+03,1.185e+03,9.908e+03,1.284e+04
174.3,1.658e+03,1.209e+03,9.926e+03,1.279e+04
175.8,1.474e+03,1.194e+03,1.040e+04,1.306e+04
177.3,1.292e+03,1.107e+03,9.309e+03,1.171e+04
178.8,1.281e+03,1.076e+03,7.945e+03,1.030e+04
180.3,1.435e+03,1.160e+03,6.809e+03,9.405e+03
181.9,1.512e+03,1.194e+03,4.981e+03,7.688e+03
183.4,1.563e+03,1.142e+03,3.541e+03,6.246e+03
184.9,1.584e+03,1.035e+03,3.245e+03,5.863e+03
186.4,1.618e+03,9.843e+02,3.013e+03,5.614e+03
187.9,1.731e+03,1.031e+03,2.400e+03,5.162e+03
189.4,1.995e+03,1.138e+03,1.757e+03,4.890e+03
190.9,2.231e+03,1.225e+03,1.389e+03,4.845e+03
192.5,2.187e+03,1.161e+03,1.288e+03,4.636e+03
194.0,2.149e+03,1.089e+03,1.383e+03,4.622e+03
195.5,2.447e+03,1.180e+03,1.424e+03,5.051e+03
197.0,2.767e+03,1.280e+03,1.550e+03,5.597e+03
198.5,3.154e+03,1.314e+03,2.117e+03,6.585e+03
